DeviceExample.ino
A simple demonstration of TinyGPS++ with an attached GPS module
Testing TinyGPS++ library v. 1.0.2
by Mikal Hart

Lat(deg),Lng(deg),HDOP,Date,Time,Speed(km/h),Course(deg)
-33.957683,18.463182,100,1/17/2019,10:44:18.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:19.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:19.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:20.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:20.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:21.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:21.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:22.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:22.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:23.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:23.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:24.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:24.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:25.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:25.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:26.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:26.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:27.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:27.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:28.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:28.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:29.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:29.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:30.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:30.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:31.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:31.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:32.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:32.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:33.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:33.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:34.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:34.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:35.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:35.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:36.00,0.00,0.00
-33.957683,18.463180,100,1/17/2019,10:44:36.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:37.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:37.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:38.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:38.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:39.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:39.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:40.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:40.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:41.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:41.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:42.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:42.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:43.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:43.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:44.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:44.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:45.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:45.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:46.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:46.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:47.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:47.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:48.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:48.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:49.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:49.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:50.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:50.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:51.00,0.00,0.00
-33.957687,18.463180,100,1/17/2019,10:44:51.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:52.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:52.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:53.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:53.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:54.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:54.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:55.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:55.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:56.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:56.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:57.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:57.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:58.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:58.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:59.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:44:59.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:00.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:00.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:01.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:01.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:02.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:02.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:03.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:03.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:04.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:04.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:05.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:05.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:06.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:06.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:07.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:07.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:08.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:08.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:09.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:09.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:10.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:10.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:11.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:11.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:12.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:12.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:13.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:13.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:14.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:14.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:15.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:15.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:16.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:16.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:17.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:17.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:18.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:18.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:19.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:19.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:20.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:20.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:45:21.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:45:21.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:45:22.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:45:22.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:45:23.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:45:23.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:24.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:24.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:25.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:25.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:26.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:26.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:27.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:27.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:28.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:28.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:29.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:45:29.00,0.00,0.00
